"Gene stable ID","Transcript stable ID","UniProtKB/TrEMBL ID","Plant Reactome Reaction ID"
AT1G08630,AT1G08630.1,ND,R-ATH-1119271
AT1G08630,AT1G08630.3,ND,R-ATH-1119610
AT1G08630,AT1G08630.3,ND,R-ATH-1119271
AT1G08630,AT1G08630.5,ND,R-ATH-1119610
AT1G08630,AT1G08630.5,ND,R-ATH-1119271
AT1G08630,AT1G08630.2,ND,R-ATH-1119610
AT1G08630,AT1G08630.2,ND,R-ATH-1119271
AT1G77120,AT1G77120.1,A0A178W8L5,R-ATH-1119267
AT3G03780,AT3G03780.2,A0A178VKB3,R-ATH-1119400
AT3G03780,AT3G03780.2,A0A178VKB3,R-ATH-1119501
AT3G03780,AT3G03780.2,B0FUS0,R-ATH-1119400
AT3G03780,AT3G03780.2,B0FUS0,R-ATH-1119501
AT3G03780,AT3G03780.2,B0FUR3,R-ATH-1119400
AT3G03780,AT3G03780.2,B0FUR3,R-ATH-1119501
AT3G03780,AT3G03780.3,A0A178VKB3,R-ATH-1119400
AT3G03780,AT3G03780.3,A0A178VKB3,R-ATH-1119501
AT3G03780,AT3G03780.1,A0A178VKB3,R-ATH-1119400
AT3G03780,AT3G03780.1,A0A178VKB3,R-ATH-1119501
AT3G03780,AT3G03780.1,B0FUR9,R-ATH-1119400
AT3G03780,AT3G03780.1,B0FUR9,R-ATH-1119501
AT1G77760,AT1G77760.1,A0A178WBR8,R-ATH-1119291
AT1G77760,AT1G77760.1,B9DHJ3,R-ATH-1119291
AT4G25970,AT4G25970.1,Q56ZL3,R-ATH-1119402
AT4G25970,AT4G25970.1,A0A178UYW2,R-ATH-1119402
AT4G25970,AT4G25970.1,Q0WW96,R-ATH-1119402
AT4G35640,AT4G35640.1,A0A178USX0,R-ATH-1119331
AT4G33360,AT4G33360.2,B3H6K6,R-ATH-1119428
AT4G33360,AT4G33360.2,B3H6K6,R-ATH-1119620
AT4G33360,AT4G33360.1,Q9SZB3,R-ATH-1119428
AT4G33360,AT4G33360.1,Q9SZB3,R-ATH-1119620
AT4G33360,AT4G33360.1,Q94CD9,R-ATH-1119428
AT4G33360,AT4G33360.1,Q94CD9,R-ATH-1119620
AT4G33360,AT4G33360.1,A0A178US90,R-ATH-1119428
AT4G33360,AT4G33360.1,A0A178US90,R-ATH-1119620
AT4G33360,AT4G33360.3,F4JIW8,R-ATH-1119428
AT4G33360,AT4G33360.3,F4JIW8,R-ATH-1119620
AT4G03190,AT4G03190.1,A0A178UXT3,R-ATH-5608118
AT4G03190,AT4G03190.1,D3K015,R-ATH-5608118
AT4G03190,AT4G03190.1,E1A6A3,R-ATH-5608118
AT4G03190,AT4G03190.1,E1A6B3,R-ATH-5608118
AT4G03190,AT4G03190.1,E1A6A7,R-ATH-5608118
AT4G03190,AT4G03190.1,E1A6B5,R-ATH-5608118
AT4G03190,AT4G03190.1,E1A6B4,R-ATH-5608118
AT4G03190,AT4G03190.1,E1A6A4,R-ATH-5608118
AT4G03190,AT4G03190.1,D3K013,R-ATH-5608118
AT4G03190,AT4G03190.1,D3K014,R-ATH-5608118
AT1G37130,AT1G37130.1,Q0WLH2,R-ATH-1119291
AT1G37130,AT1G37130.1,Q94C76,R-ATH-1119291
AT1G37130,AT1G37130.1,Q0WUE2,R-ATH-1119291
AT1G37130,AT1G37130.1,A0A178W376,R-ATH-1119291
AT1G37130,AT1G37130.1,C0Z2B5,R-ATH-1119291
AT3G58710,AT3G58710.2,ND,R-ATH-6788019
AT3G58710,AT3G58710.1,A0A178V7K8,R-ATH-6788019
AT3G58710,AT3G58710.1,Q0WSP0,R-ATH-6788019
AT2G39770,AT2G39770.1,A0A178VW16,R-ATH-1119410
AT2G39770,AT2G39770.3,A0A178VW16,R-ATH-1119410
AT2G39770,AT2G39770.2,A0A178VW16,R-ATH-1119410
AT1G73370,AT1G73370.2,F4HQ76,R-ATH-1119452
AT1G73370,AT1G73370.2,F4HQ76,R-ATH-1119465
AT1G73370,AT1G73370.1,W8Q3K7,R-ATH-1119452
AT1G73370,AT1G73370.1,W8Q3K7,R-ATH-1119465
AT1G73370,AT1G73370.3,W8Q3K7,R-ATH-1119452
AT1G73370,AT1G73370.3,W8Q3K7,R-ATH-1119465
AT1G73370,AT1G73370.3,A0A178W7L7,R-ATH-1119452
AT1G73370,AT1G73370.3,A0A178W7L7,R-ATH-1119465
AT5G14060,AT5G14060.2,A0A178UPF4,R-ATH-1119273
AT5G14060,AT5G14060.2,A0A178UPF4,R-ATH-1119283
AT5G14060,AT5G14060.2,A0A178UPF4,R-ATH-1119419
AT5G14060,AT5G14060.2,A0A178UPF4,R-ATH-1119295
AT5G14060,AT5G14060.1,A0A178UPF4,R-ATH-1119273
AT5G14060,AT5G14060.1,A0A178UPF4,R-ATH-1119283
AT5G14060,AT5G14060.1,A0A178UPF4,R-ATH-1119419
AT5G14060,AT5G14060.1,A0A178UPF4,R-ATH-1119295
AT5G14060,AT5G14060.1,Q0WWQ7,R-ATH-1119273
AT5G14060,AT5G14060.1,Q0WWQ7,R-ATH-1119283
AT5G14060,AT5G14060.1,Q0WWQ7,R-ATH-1119419
AT5G14060,AT5G14060.1,Q0WWQ7,R-ATH-1119295
AT5G14060,AT5G14060.3,A0A1P8BBD5,R-ATH-1119273
AT5G14060,AT5G14060.3,A0A1P8BBD5,R-ATH-1119283
AT5G14060,AT5G14060.3,A0A1P8BBD5,R-ATH-1119419
AT5G14060,AT5G14060.3,A0A1P8BBD5,R-ATH-1119295
AT4G14680,AT4G14680.1,A0A178V3I6,R-ATH-1119529
AT4G14680,AT4G14680.2,A0A1P8B8I9,R-ATH-1119529
AT2G34770,AT2G34770.1,A0A178W0P1,R-ATH-1119325
AT3G60100,AT3G60100.1,ND,R-ATH-1119533
AT3G60100,AT3G60100.2,A0A1I9LSJ6,R-ATH-1119533
AT3G60100,AT3G60100.2,A0A178VDI2,R-ATH-1119533
AT3G60100,AT3G60100.3,A0A1I9LSJ5,R-ATH-1119533
AT2G28350,AT2G28350.1,C0SV66,R-ATH-5608118
AT2G28350,AT2G28350.1,E1A6S1,R-ATH-5608118
AT2G28350,AT2G28350.1,E1A6S0,R-ATH-5608118
AT2G28350,AT2G28350.1,E1A6S4,R-ATH-5608118
AT2G28350,AT2G28350.1,A0A384K881,R-ATH-5608118
AT2G28350,AT2G28350.1,E1A6R7,R-ATH-5608118
AT2G28350,AT2G28350.1,E1A6R9,R-ATH-5608118
AT2G28350,AT2G28350.1,E1A6S2,R-ATH-5608118
AT2G28350,AT2G28350.2,A0A1P8B1S1,R-ATH-5608118
AT2G28350,AT2G28350.2,E1A6R8,R-ATH-5608118
AT2G28350,AT2G28350.2,D3K070,R-ATH-5608118
AT2G28350,AT2G28350.2,E1A6S6,R-ATH-5608118
AT5G40280,AT5G40280.2,A0A1P8BE65,R-ATH-1119545
AT5G40280,AT5G40280.1,A5YYC6,R-ATH-1119545
AT5G40280,AT5G40280.1,A5YYC3,R-ATH-1119545
AT5G40280,AT5G40280.1,Q8LPK8,R-ATH-1119545
AT5G40280,AT5G40280.1,A0A178UTK3,R-ATH-1119545
AT5G40280,AT5G40280.1,A5YYD2,R-ATH-1119545
AT5G40280,AT5G40280.1,A5YYD0,R-ATH-1119545
AT5G45110,AT5G45110.2,A0A1P8BAP1,R-ATH-6788019
AT5G45110,AT5G45110.1,A0A178UGU4,R-ATH-6788019
AT5G45110,AT5G45110.1,B1PE15,R-ATH-6788019
AT1G77810,AT1G77810.1,W8QP14,R-ATH-1119341
AT1G77810,AT1G77810.1,A0A384KKT7,R-ATH-1119341
AT1G77810,AT1G77810.2,ND,R-ATH-1119341
AT1G32480,AT1G32480.1,A0A178WJM7,R-ATH-1119533
AT1G32480,AT1G32480.1,A0A178WJM7,R-ATH-1119540
AT4G33330,AT4G33330.1,W8Q2X3,R-ATH-5654909
AT4G33330,AT4G33330.2,ND,R-ATH-5654909
AT4G33330,AT4G33330.3,A0A1P8B3D1,R-ATH-5654909
AT4G33330,AT4G33330.4,A0A1P8B3E0,R-ATH-5654909
AT4G33330,AT4G33330.4,A0A178UWT8,R-ATH-5654909
AT4G33330,AT4G33330.5,A0A1P8B3E3,R-ATH-5654909
AT4G17190,AT4G17190.2,F4JNF1,R-ATH-1119472
AT4G17190,AT4G17190.2,F4JNF1,R-ATH-1119569
AT4G17190,AT4G17190.1,A0A178UUX8,R-ATH-1119472
AT4G17190,AT4G17190.1,A0A178UUX8,R-ATH-1119569
AT4G17190,AT4G17190.3,A0A1P8B4W4,R-ATH-1119472
AT4G17190,AT4G17190.3,A0A1P8B4W4,R-ATH-1119569
AT5G01320,AT5G01320.1,A0A178UTB1,R-ATH-1119486
AT5G01320,AT5G01320.1,A0A178UTB1,R-ATH-1119460
AT5G01320,AT5G01320.1,A0A178UTB1,R-ATH-1119600
AT5G01320,AT5G01320.1,A0A178UTB1,R-ATH-1119267
AT5G01320,AT5G01320.1,A0A178UTB1,R-ATH-1119502
AT1G15950,AT1G15950.1,A0A178W9D8,R-ATH-1119316
AT1G15950,AT1G15950.3,A0A178W9D8,R-ATH-1119316
AT1G15950,AT1G15950.3,C0Z2K0,R-ATH-1119316
AT1G15950,AT1G15950.7,A0A1P8ASX1,R-ATH-1119316
AT1G15950,AT1G15950.6,A0A1P8ASX8,R-ATH-1119316
AT1G15950,AT1G15950.4,A0A1P8AT30,R-ATH-1119316
AT1G15950,AT1G15950.5,A0A1P8ASX3,R-ATH-1119316
AT1G15950,AT1G15950.2,A8MQW5,R-ATH-1119316
AT1G36370,AT1G36370.1,A0A178WMF6,R-ATH-1119617
AT1G36370,AT1G36370.1,A0A178WMF6,R-ATH-1119312
AT1G36370,AT1G36370.1,A0A178WMF6,R-ATH-1119311
AT3G25540,AT3G25540.2,A0A1I9LTU4,R-ATH-1119325
AT3G25540,AT3G25540.3,A0A178VEQ4,R-ATH-1119325
AT3G25540,AT3G25540.1,A0A178VEQ4,R-ATH-1119325
AT2G01290,AT2G01290.1,A0A178W072,R-ATH-1119519
AT3G50050,AT3G50050.1,Q9SN13,R-ATH-1119464
AT3G50050,AT3G50050.1,A0A178VHM7,R-ATH-1119464
AT3G50050,AT3G50050.1,Q0WNX1,R-ATH-1119464
AT5G65980,AT5G65980.1,A0A178U6H8,R-ATH-8868949
AT5G65980,AT5G65980.2,A0A1P8BD12,R-ATH-8868949
AT5G56760,AT5G56760.1,A0A178UAR0,R-ATH-1119331
AT5G20730,AT5G20730.1,ND,R-ATH-5608118
AT5G20730,AT5G20730.2,A0A178URD8,R-ATH-5608118
AT5G20730,AT5G20730.3,F4K5M5,R-ATH-5608118
AT5G20730,AT5G20730.3,E1A6N0,R-ATH-5608118
AT5G20730,AT5G20730.3,E1A6M5,R-ATH-5608118
AT5G20730,AT5G20730.3,D3K054,R-ATH-5608118
AT5G20730,AT5G20730.3,D3K056,R-ATH-5608118
AT5G20730,AT5G20730.3,D3K053,R-ATH-5608118
AT5G20730,AT5G20730.3,D3K055,R-ATH-5608118
AT1G74420,AT1G74420.3,A0A1P8ANB1,R-ATH-5655101
AT1G74420,AT1G74420.3,A0A178WNK9,R-ATH-5655101
AT1G74420,AT1G74420.1,W8Q3K1,R-ATH-5655101
AT1G74420,AT1G74420.1,Q56YH9,R-ATH-5655101
AT1G74420,AT1G74420.4,A0A1P8AN91,R-ATH-5655101
AT1G74420,AT1G74420.4,A0A178WQD1,R-ATH-5655101
AT1G74420,AT1G74420.2,F4HVN0,R-ATH-5655101
AT5G65800,AT5G65800.1,A0A178UQM2,R-ATH-1119334
AT5G65800,AT5G65800.1,A0A178UQM2,R-ATH-1119624
AT1G30330,AT1G30330.2,E1A6M1,R-ATH-5608118
AT1G30330,AT1G30330.2,D3K048,R-ATH-5608118
AT1G30330,AT1G30330.2,E1A6M2,R-ATH-5608118
AT1G30330,AT1G30330.3,A0A178WCT2,R-ATH-5608118
AT1G30330,AT1G30330.3,D3K050,R-ATH-5608118
AT1G30330,AT1G30330.3,D3K052,R-ATH-5608118
AT1G30330,AT1G30330.3,E1A6M3,R-ATH-5608118
AT1G30330,AT1G30330.3,E1A6L9,R-ATH-5608118
AT1G30330,AT1G30330.3,E1A6L5,R-ATH-5608118
AT1G30330,AT1G30330.3,D3K049,R-ATH-5608118
AT1G30330,AT1G30330.1,ND,R-ATH-5608118
AT1G75280,AT1G75280.1,A0A178W6W0,R-ATH-1119395
AT1G75280,AT1G75280.1,A0A178W6W0,R-ATH-1119453
AT3G23810,AT3G23810.1,A0A178VEP9,R-ATH-1119501
AT3G02470,AT3G02470.3,A0A178VEW3,R-ATH-1119317
AT3G02470,AT3G02470.3,A0A178VEW3,R-ATH-1119343
AT3G02470,AT3G02470.3,A0A178VEW3,R-ATH-1119446
AT3G02470,AT3G02470.1,A0A178VEW3,R-ATH-1119317
AT3G02470,AT3G02470.1,A0A178VEW3,R-ATH-1119343
AT3G02470,AT3G02470.1,A0A178VEW3,R-ATH-1119446
AT3G02470,AT3G02470.4,A0A178VEW3,R-ATH-1119317
AT3G02470,AT3G02470.4,A0A178VEW3,R-ATH-1119343
AT3G02470,AT3G02470.4,A0A178VEW3,R-ATH-1119446
AT3G02470,AT3G02470.4,Q940Q5,R-ATH-1119317
AT3G02470,AT3G02470.4,Q940Q5,R-ATH-1119343
AT3G02470,AT3G02470.4,Q940Q5,R-ATH-1119446
AT1G32060,AT1G32060.1,A0A178WLP9,R-ATH-1119519
AT4G04955,AT4G04955.2,A0A1P8B436,R-ATH-1119407
AT4G04955,AT4G04955.2,A0A1P8B436,R-ATH-1119502
AT4G04955,AT4G04955.1,A0A178UTX8,R-ATH-1119407
AT4G04955,AT4G04955.1,A0A178UTX8,R-ATH-1119502
AT1G01260,AT1G01260.3,A0A178WJW5,R-ATH-6787011
AT1G01260,AT1G01260.3,B9DI37,R-ATH-6787011
AT1G01260,AT1G01260.2,A0A178WJW5,R-ATH-6787011
AT1G01260,AT1G01260.1,A0A178WJW5,R-ATH-6787011
AT4G31800,AT4G31800.3,A0A1P8B913,R-ATH-6788019
AT4G31800,AT4G31800.2,F4JSS8,R-ATH-6788019
AT4G31800,AT4G31800.1,Q0WTZ3,R-ATH-6788019
AT4G31800,AT4G31800.1,A0A178UZX1,R-ATH-6788019
AT3G52930,AT3G52930.1,A0A178V8L4,R-ATH-1119519
AT3G52930,AT3G52930.1,A0A178V8L4,R-ATH-1119570
AT3G52930,AT3G52930.1,A0A178V694,R-ATH-1119519
AT3G52930,AT3G52930.1,A0A178V694,R-ATH-1119570
AT4G24620,AT4G24620.2,ND,R-ATH-1119410
AT4G24620,AT4G24620.2,ND,R-ATH-1119477
AT4G24620,AT4G24620.2,ND,R-ATH-1119570
AT4G24620,AT4G24620.1,A0A178UUU3,R-ATH-1119410
AT4G24620,AT4G24620.1,A0A178UUU3,R-ATH-1119477
AT4G24620,AT4G24620.1,A0A178UUU3,R-ATH-1119570
AT4G24620,AT4G24620.1,A0A090MHY5,R-ATH-1119410
AT4G24620,AT4G24620.1,A0A090MHY5,R-ATH-1119477
AT4G24620,AT4G24620.1,A0A090MHY5,R-ATH-1119570
AT3G03050,AT3G03050.1,W8Q6V3,R-ATH-1119314
AT3G03050,AT3G03050.1,A0A384LKM5,R-ATH-1119314
AT5G40870,AT5G40870.1,A0A178UHR6,R-ATH-1119394
AT1G67070,AT1G67070.2,ND,R-ATH-1119410
AT1G67070,AT1G67070.2,ND,R-ATH-1119595
AT1G67070,AT1G67070.2,ND,R-ATH-1119628
AT1G67070,AT1G67070.3,A0A1P8ARS3,R-ATH-1119410
AT1G67070,AT1G67070.3,A0A1P8ARS3,R-ATH-1119595
AT1G67070,AT1G67070.3,A0A1P8ARS3,R-ATH-1119628
AT1G67070,AT1G67070.1,B0FU41,R-ATH-1119410
AT1G67070,AT1G67070.1,B0FU41,R-ATH-1119595
AT1G67070,AT1G67070.1,B0FU41,R-ATH-1119628
AT1G67070,AT1G67070.1,B0FU36,R-ATH-1119410
AT1G67070,AT1G67070.1,B0FU36,R-ATH-1119595
AT1G67070,AT1G67070.1,B0FU36,R-ATH-1119628
AT1G67070,AT1G67070.1,B0FU48,R-ATH-1119410
